Designator,Component Description,Package,Qty,Unit Price,Total (INR),Purchase Link
U1,THEJAS32 SoC (VEGA ET1031),LQFP-128,1,₹ 254.00,₹ 254.00,C-DAC B2B Inquiry *
U6,Ai-Thinker BW16 (RTL8720DN) Module,SMD-16,1,₹ 529.00,₹ 529.00,ElectronicsComp
U5,CP2102N USB-to-UART Bridge,QFN-20,1,₹ 241.00,₹ 241.00,Robu.in
U4,W25Q16 (2MB SPI NOR Flash),SOIC-8,1,₹ 35.00,₹ 35.00,ElectronicsComp **
U2,AMS1117-3.3V LDO Regulator,SOT-223,1,₹ 9.00,₹ 9.00,Robu.in
U3,AMS1117-1.2V LDO Regulator,SOT-223,1,₹ 9.00,₹ 9.00,Robu.in
J1,USB Type-C Receptacle (16-Pin),SMD,1,₹ 12.00,₹ 12.00,Robu.in
"J2, J3, J4",40-Pin Male Header (2.54mm),THT,2,₹ 9.00,₹ 18.00,Robu.in
Y1,16MHz SMD Crystal Oscillator,3225,1,₹ 7.00,₹ 7.00,Robu.in
SW1,SMD Tactile Push Button,SMD,1,₹ 3.00,₹ 3.00,Robu.in
F1,500mA PTC Resettable Fuse,1206,1,₹ 3.50,₹ 3.50,Robu.in
D1-D3,0603 SMD LEDs (Power/User/HB),603,3,₹ 1.00,₹ 3.00,Robu.in
R1-R20,0603 SMD Resistors (10kΩ),603,25,₹ 0.50,₹ 12.50,Robu.in
C1-C8,0603 SMD Capacitors (0.1µF),603,20,₹ 0.50,₹ 10.00,Robu.in
,,,,Total:,"₹ 1,146.00",
